,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,AVGO,CSCO,ADBE,JPM,V,MA,PG,KO,PEP,JNJ,WMT,DIS,PFE,SAN.MC,BBVA.MC,TEF.MC,ITX.MC,REP.MC,IBE.MC,CABK.MC,SAB.MC,ACS.MC,FER.MC,NFLX,INTC,AMD,QCOM,TXN,HON,AMGN,SBUX,MDLZ,GILD
AAPL,0.06757962024588486,0.03171813496504405,0.03400757665057977,0.0345771537733218,0.033833204476555155,0.06124422975914481,0.04183475584455892,0.0457088679113937,0.03338944588840609,0.03115140246149374,0.02203266322363069,0.025153653926567716,0.029684808256849878,0.008164499824800902,0.007091669362628781,0.011546706011860652,0.011075996343652295,0.0065836732210729255,0.017227907402614488,0.0149059147144619,0.01688911075985483,0.01994059741207251,0.01082926274181284,0.014976475693290074,0.01551883460678549,0.0023329497331554994,0.016696747979712066,0.015425254307873693,0.01689452191949159,0.005752939042193603,0.033576545665946166,0.03850886750483379,0.06744323465842343,0.03959195260047417,0.038460619887527726,0.023584928440130958,0.015164559924887237,0.01959559990940938,0.010582529282986385,0.01423624637286997
MSFT,0.03171813496504405,0.03835133275959833,0.029310653545576347,0.03194820883541562,0.02868063385414808,0.04481365922544404,0.026685745668269534,0.029121281699844785,0.02610196382100646,0.03382849037077434,0.01651870662503165,0.025346887849299605,0.030869477861050897,0.010498489902773378,0.008801481930002174,0.011588584663337523,0.009962648785585773,0.010429773633656223,0.014362033299085506,0.012171874334153109,0.01595601586184376,0.017431773847362986,0.009324081613766862,0.014430351175845381,0.013862062933405934,0.005743646752165729,0.014089716143970726,0.016109503773150614,0.013920487800662825,0.009358146906825699,0.032433944653541574,0.027027915336265543,0.05500184246492551,0.02446355573276696,0.027642205915124108,0.01959149408011193,0.01089157662228288,0.019132276670115758,0.010344864676789071,0.013598497857523543
GOOGL,0.03400757665057977,0.029310653545576347,0.05455439212146483,0.03275771776263691,0.036902991384776054,0.042875607844422,0.028259916632880244,0.022433580569976998,0.02289545170304034,0.03049738487183218,0.01818620823852006,0.02177585746127267,0.02540647050786763,0.008823837249024354,0.008197403518818648,0.010958934960698358,0.00891216875833566,0.008301815302996776,0.01603229599777463,0.011953729875438222,0.017568884268741928,0.016989428293385265,0.010147782937725943,0.01153033504024984,0.011282494098194588,-0.00015955547446544236,0.01548026286253671,0.014581723922925623,0.013028190768240903,0.008497602679917301,0.03596295513176899,0.023792488583383998,0.05148465066408654,0.026521510560041796,0.022860341139124062,0.01712855781291077,0.012528167893336795,0.020488704745898437,0.008883164038292231,0.014972862732588462
AMZN,0.0345771537733218,0.03194820883541562,0.03275771776263691,0.050706920676700185,0.038011235412429324,0.0513426312540887,0.03201621327993374,0.027265141116609246,0.025731015373777776,0.031761691011397225,0.017603602479205054,0.02163514083508759,0.02905335301062418,0.009379709014775448,0.007226003428077894,0.009589537535770503,0.009885214046964049,0.01078996815453495,0.012943105031544272,0.013666411810047444,0.01760812709188545,0.01828749977569135,0.00861693869365318,0.01374483670496976,0.013562608607250776,0.002356173923527694,0.022212178706785633,0.02359599078059469,0.013685765222708562,0.00803676097917724,0.04122313986965612,0.02384436066837803,0.06455308096278879,0.02589807588770813,0.02850425906648926,0.017920095005272522,0.011277853486380777,0.013407638300612978,0.011201982038221538,0.013786406142244717
META,0.033833204476555155,0.02868063385414808,0.036902991384776054,0.038011235412429324,0.07395527164231933,0.048311033098647906,0.03207193219950099,0.023804208146130806,0.024087933078339514,0.03369400449653348,0.015010703339960208,0.021146631369727532,0.032389071082379595,0.006435131729602002,0.004856862226956485,0.008255769188525452,0.009755258668563213,0.0074649189754110445,0.015375759412648163,0.015194123626286095,0.013459191226633103,0.014213934588757051,0.006570198080294023,0.008260374458038108,0.01322744322395196,0.0025449756157040664,0.01526064011203222,0.012124833676906165,0.013751647468996719,0.007770165219162822,0.03930379751795278,0.024652107565398703,0.055306513524781595,0.02070429202547106,0.022728910743933458,0.01593671961323004,0.00992369740391477,0.013974459909188584,0.013530541046392822,0.013578010864057624
NVDA,0.06124422975914481,0.04481365922544404,0.042875607844422,0.0513426312540887,0.048311033098647906,0.1622227721529102,0.0655650258195925,0.07030333726558752,0.048140215360543845,0.044691455145843335,0.03518490909732039,0.03622685013603511,0.04537893216086662,0.010628825673005604,0.007345358719556452,0.010728766691203701,0.012777268579821833,0.013523066249531562,0.017843637879848346,0.021673794194924254,0.035136888530558213,0.034470433700254835,0.017950972816517155,0.027085885477104797,0.030178571588849453,0.002317736222395838,0.029396595798345172,0.03625313684374255,0.02369504136582233,0.010782212925081112,0.05757651277382996,0.06680695863800075,0.1349668247263046,0.05997285440962873,0.07109125544105907,0.03349053681043201,0.024044488022934782,0.020335083095522035,0.01124891746546065,0.0258935109793528
TSLA,0.04183475584455892,0.026685745668269534,0.028259916632880244,0.03201621327993374,0.03207193219950099,0.0655650258195925,0.23417108044881063,0.03936811681110385,0.027662485984997816,0.03608378404567012,0.020612141013272748,0.026440584122680126,0.02534460312317664,0.004493495321219344,0.0014228965523436043,0.0016823783330838604,0.0030608688414267703,0.0037968550044491824,0.005762281845117514,0.009277361231584284,0.019391681331464194,0.020427888553697128,0.008980814200668185,0.006663543702580887,0.012058285193024517,-0.005394117481641661,0.022114014736682043,0.009148305842373475,0.008236019702903939,-0.001795617115485491,0.04848985400543771,0.04962752857758752,0.06998721186666083,0.04664174574047377,0.03555171730480134,0.016110376911857013,0.014002069733877787,0.010619211797176672,0.005998738453402936,0.013470474636253746
AVGO,0.0457088679113937,0.029121281699844785,0.022433580569976998,0.027265141116609246,0.023804208146130806,0.07030333726558752,0.03936811681110385,0.08607580511461647,0.032574871763482026,0.026423272481770756,0.025816806160396884,0.022643777313432867,0.02715811058606632,0.0047274078523782265,0.005371491666893593,0.0073250199662384975,0.008754737386532443,0.00786727922485631,0.01576979762152026,0.01439858503297153,0.02297342694005152,0.02413133717538344,0.011823150041050506,0.019579198987984967,0.01902477969410061,0.0010023359077043477,0.015482141129764744,0.020627438122887407,0.016286106847166193,0.008683977366617914,0.02105985395765003,0.04156030998703699,0.074311595972025,0.04824116833108251,0.05299127895979159,0.02417943360008149,0.016662931278197915,0.017084040505920498,0.008518231313568818,0.01796173635282046
CSCO,0.03338944588840609,0.02610196382100646,0.02289545170304034,0.025731015373777776,0.024087933078339514,0.048140215360543845,0.027662485984997816,0.032574871763482026,0.059174064230495385,0.027904435932545317,0.01974286995337982,0.018365096176672837,0.02375132821232587,0.010627513122844453,0.0033404144750508874,0.00899169090667158,0.012685458934443514,0.005635848295610157,0.01689469670137106,0.015394118603166402,0.02216392376304141,0.024303619756570524,0.012203668010283929,0.016534043433629953,0.016541845703585512,0.0015031935633232358,0.019694783445321804,0.02234999953290345,0.019070519844165343,0.008707495348424646,0.025021594398173023,0.02978294744212431,0.05313934209596643,0.021302106367260615,0.03059367397868411,0.02263812612606883,0.012105325503960805,0.015115511439131245,0.009418748876248934,0.016570400910995386
ADBE,0.03115140246149374,0.03382849037077434,0.03049738487183218,0.031761691011397225,0.03369400449653348,0.044691455145843335,0.03608378404567012,0.026423272481770756,0.027904435932545317,0.05529546224133478,0.013905164580224672,0.028743969121394656,0.035067108520421886,0.010929222887944295,0.010558034913506731,0.011289944376539744,0.009836466037254271,0.009876807554129563,0.013120897122543083,0.014211779405930993,0.013564026818139532,0.017521420427138792,0.005732268736945547,0.012856199555300945,0.011349331913897087,0.003067534831224363,0.013413379030663081,0.01121767737423626,0.01332583901146474,0.00924051672667633,0.037033131351932064,0.022094234154550092,0.05620797511477812,0.020076245385213225,0.026007514668505954,0.01899271275458999,0.014252290716284248,0.02034833660693504,0.0138365304914186,0.012077434003275489
