,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,AVGO,CSCO,ADBE,JPM,V,MA,PG,KO,PEP,JNJ,WMT,DIS,PFE,SAN.MC,BBVA.MC,TEF.MC,ITX.MC,REP.MC,IBE.MC,CABK.MC,SAB.MC,ACS.MC,FER.MC,NFLX,INTC,AMD,QCOM,TXN,HON,AMGN,SBUX,MDLZ,GILD
AAPL,0.08201656756580575,0.0639424114475308,0.06912053836580356,0.07500014697864392,0.0873726408428143,0.10565267819360925,0.09991164596045363,0.06313526179884005,0.03916054711134019,0.07229624255042608,0.03445983301391482,0.04482433732953189,0.05034133390151324,0.02032009466659828,0.020558010433176524,0.02101565976885393,0.01302060853210431,0.01832139252249114,0.05086326287568197,0.017459831924826787,0.023409626851677922,0.023099648205965453,0.005695591664711501,0.01631627315429659,0.005519337285581491,0.008747336916682011,0.006090437111111542,0.017306976466128537,0.011682044440576448,0.014693691284397443,0.07675979448338244,0.06057582859401022,0.0969273518727805,0.07664386489929226,0.05298382593969086,0.03218814637706817,0.013907974682320546,0.044437824017275536,0.022026023194299596,0.02303841407160124
MSFT,0.0639424114475308,0.09129217402737036,0.07565667392845385,0.08758988336768996,0.09622656515751736,0.11735356476341195,0.08453600935790168,0.06371433318150327,0.03542528368763826,0.08302701337337529,0.029564372982215852,0.04132459811211619,0.048527014979555756,0.019736887639123273,0.017642981611967437,0.019244076173188178,0.010154327903372904,0.017001609521108765,0.04939660576339531,0.02049333256289198,0.021430956206408534,0.020382778145036765,0.002211255122067248,0.01310719416336403,0.0015632482576652745,0.01034450444389527,0.009373174532331333,0.016009730724568686,0.008234948486848116,0.0123903842833527,0.0768266646612438,0.060255010173849356,0.10705266944953971,0.06945128900970328,0.05151282684209179,0.03191704770709562,0.012965469397223034,0.04445328168048153,0.02154782707133899,0.017644695210131567
GOOGL,0.06912053836580356,0.07565667392845385,0.1181574116269535,0.09842320856481107,0.11945196384900633,0.12136694327081705,0.09571791228798393,0.06645861751092605,0.03933315164963867,0.08615879521629641,0.03396303267296309,0.041866710025571116,0.050183473128920575,0.016447107099830237,0.015432446621417571,0.01705311944989323,0.010554476315624525,0.018140077639220098,0.054221635362681854,0.01813499119810847,0.02549430898468291,0.025014682246741887,0.006016959878449916,0.01585597723254557,0.0011021594088221512,0.00733557634189334,0.008719013084081028,0.015925083379369327,0.011094002234366265,0.014294175500586507,0.08607564009214223,0.06626604371371729,0.11714015022118437,0.07897834646473849,0.05694457900998921,0.033995233858007234,0.015545475566645706,0.04602308236117388,0.019860458669172912,0.014915269025278049
AMZN,0.07500014697864392,0.08758988336768996,0.09842320856481107,0.17595151854293958,0.13556238602638385,0.14105733769004242,0.1272515664593329,0.0794096588644592,0.043445848103548006,0.09968503177709764,0.041343118813769716,0.04984156979428688,0.05780747404143669,0.015571324173225943,0.01917593201743392,0.020228383167633347,0.010076329974858664,0.02501591757930382,0.07562328164813326,0.019918125525992623,0.024339000221663482,0.02833723242592508,0.005554502196397627,0.01692782500514556,-0.0022227010644620096,0.009523131494514576,0.016363100662271382,0.026235530743121682,0.014624055868296418,0.016742101276633437,0.12446120469945783,0.07316686146662761,0.1378374391442977,0.09215894104823912,0.06276597694521635,0.03810910731707295,0.014950197490491795,0.05952778980211477,0.022410107952393583,0.016315943771426276
META,0.0873726408428143,0.09622656515751736,0.11945196384900633,0.13556238602638385,0.2942287891107049,0.16051913755512642,0.12100523800562886,0.08982713975740618,0.047535737106682394,0.11492000034068556,0.04523225260800633,0.053615471860412725,0.06485487575098421,0.018676306424079598,0.013445647189733925,0.01814262894805179,0.010453022329038546,0.017850584935215075,0.077002712104224,0.025522149386686167,0.03707947615580972,0.04132683588792456,0.006423596985872048,0.03082520306171347,-0.009068122789269755,0.01828086260573519,0.012187833623851006,0.02285905643193769,0.014966950272491095,0.02107541485693571,0.15442120119128533,0.09573201313962858,0.15150918666598745,0.10879328073679624,0.07774725625266904,0.04949609515280371,0.014634370112373249,0.06469504012698259,0.025451944275305446,0.022856936190208912
NVDA,0.10565267819360925,0.11735356476341195,0.12136694327081705,0.14105733769004242,0.16051913755512642,0.30305136364744295,0.1931473024740042,0.13459743945848596,0.06047857527944065,0.14047199625592408,0.06071275001305726,0.0704235518244318,0.08168347714709231,0.018453289456903416,0.020166810463164514,0.02078161032238767,0.006430069144354147,0.01983143764094074,0.09134883435975161,0.021663015575339534,0.045372076982594815,0.048715052867702946,0.005354608904201171,0.029739555973574118,0.006265058628099962,0.011220729230326265,0.02194578195615036,0.0410022632767822,0.02358409429548266,0.030862976895521567,0.15043532160788972,0.10944116024261047,0.24013321155771145,0.1477775064047764,0.10248860155120494,0.05396803215551217,0.012129867827546964,0.0821409281350442,0.02491596875921229,0.019105730793562137
TSLA,0.09991164596045363,0.08453600935790168,0.09571791228798393,0.1272515664593329,0.12100523800562886,0.1931473024740042,0.36246292773067307,0.10178002309123699,0.047374651904480355,0.10649246193826997,0.05169185182222973,0.05777750119757865,0.062116893859116735,0.011432558031870276,0.016281537115094207,0.016937835444266216,0.006389891707289764,0.021426019342559544,0.08379234299694617,0.014521978474244268,0.034210130482564986,0.03744954198056501,0.00545224920981629,0.03505170356482225,0.00829680832366215,0.008639884526734637,0.014590727357215312,0.03562391188099426,0.02018392433280352,0.025081302020627676,0.14531628983116304,0.08652878863018636,0.1723941114756287,0.1152143956655203,0.07891846585694177,0.041659710627796574,0.012261976327028974,0.07024485183066743,0.019333450045788448,0.021936006733998956
AVGO,0.06313526179884005,0.06371433318150327,0.06645861751092605,0.0794096588644592,0.08982713975740618,0.13459743945848596,0.10178002309123699,0.11652413596466696,0.04887531143283066,0.08581911180089635,0.04009296979730657,0.042669628104363526,0.05053868226290717,0.018482126618656246,0.0174027713950841,0.018284346635042078,0.008586364569632354,0.015957983377783917,0.051226119936073226,0.018519262642247843,0.028481448817302232,0.027037241680766592,0.004366760548148241,0.022985828018018035,0.006562275113829313,0.009239586886155298,0.010473545934470991,0.020965871336990936,0.015451652508733382,0.017241812210236587,0.07994084067310933,0.07604975361565901,0.12490705788548945,0.09389375461938942,0.06998371873251104,0.039552732779552346,0.01564144012309146,0.05101968831998499,0.021346241514216796,0.02238237520252917
CSCO,0.03916054711134019,0.03542528368763826,0.03933315164963867,0.043445848103548006,0.047535737106682394,0.06047857527944065,0.047374651904480355,0.04887531143283066,0.06359899825263765,0.04627329028869156,0.0268344783150016,0.027366530533343505,0.030876088295158373,0.0183268655535038,0.018503313312413394,0.01833115814427378,0.012134025369596927,0.020644723103940447,0.030860314452876837,0.019503555430674786,0.016672565169985897,0.016002580833099387,0.005325373015661248,0.013669398945589167,0.007669884732745265,0.007510867134863432,0.007201589998988664,0.01162390323674829,0.009721345642135677,0.013144328889292825,0.03920299164551345,0.03958441673957444,0.05932087749053088,0.04692780370769436,0.03812391611251778,0.027438274100885292,0.014303444727564271,0.030783561080281234,0.016890308459694824,0.017084122682342835
ADBE,0.07229624255042608,0.08302701337337529,0.08615879521629641,0.09968503177709764,0.11492000034068556,0.14047199625592408,0.10649246193826997,0.08581911180089635,0.04627329028869156,0.15154777200068387,0.0367307422400549,0.053647303300134605,0.05969947917781776,0.020513182586227828,0.018440985672901773,0.020348529987883567,0.008851028128036141,0.018944720583178882,0.06075936170174845,0.021678275502882344,0.02223513513532372,0.02909445576763281,0.004693345977793265,0.020856081359981286,0.001954231275437882,0.012932651429159623,0.01065285851173345,0.021785067976399067,0.00920385689033899,0.01599332932381285,0.10051345724166819,0.0714986149365559,0.1325525053359844,0.09331162319037238,0.06584869054826147,0.04095254494311138,0.018046388360777415,0.057786283322829105,0.02294206905715189,0.023758649791355294
