,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,AVGO,CSCO,ADBE,JPM,V,MA,PG,KO,PEP,JNJ,WMT,DIS,PFE,SAN.MC,BBVA.MC,TEF.MC,ITX.MC,REP.MC,IBE.MC,CABK.MC,SAB.MC,ACS.MC,FER.MC,NFLX,INTC,AMD,QCOM,TXN,HON,AMGN,SBUX,MDLZ,GILD
AAPL,0.21283368454217005,0.1693306383934062,0.1336008593949017,0.12324377189023555,0.16215850413183072,0.20736626214726195,0.20071600841307824,0.1659600889609693,0.1264250070635348,0.16866208702219146,0.13405104671840387,0.13864539866581824,0.1544230985584199,0.09385762965178868,0.08978168277709328,0.1144827758309149,0.08349136171088058,0.07680427874628107,0.1180381990293912,0.07880563739914659,0.08434973510055167,0.07948298528879935,0.06783732176611262,0.05048208446595155,0.08251769663262819,0.06603779277735196,0.07252242981182011,0.10225277849926019,0.0642018303727394,0.06464644571169367,0.12034339426109085,0.15638139319078506,0.18566294276441292,0.17122451477598774,0.14578993818012498,0.11840865287502896,0.10708204396799861,0.13708330560205653,0.10576181042700047,0.06085732194720689
MSFT,0.1693306383934062,0.18903329690781265,0.14300752806863595,0.122443655483067,0.15245752430912626,0.21196687460184857,0.20185366267226484,0.17265567108440613,0.12953769170261836,0.18029774331002626,0.13809399364103633,0.14363692319184448,0.15770844078592472,0.0949616548412246,0.08827320142692449,0.11732225173808657,0.08600416140420998,0.07923529243644635,0.12252818720097301,0.08413619842154711,0.07797803092519393,0.0782283803521455,0.06905083030481586,0.05406114931348062,0.08411487930379283,0.06623885856895086,0.06525453293551767,0.08885264032228829,0.06759414851912833,0.06294072065274327,0.12061080957710682,0.16726198862149932,0.1811126903262292,0.17036985149357436,0.15032846067831007,0.11209840039114544,0.11298508115756105,0.13928715097284444,0.11163330415496313,0.06836799335680263
GOOGL,0.1336008593949017,0.14300752806863595,0.14555496823072028,0.09840181583881498,0.1394255082412576,0.1677535358879059,0.1564797725724116,0.14115080295717802,0.10943019319433482,0.14491916211144504,0.12347597381342636,0.12768314252980198,0.14000871913480445,0.07571142404266784,0.08159935328252907,0.09321510637152493,0.07098688100675775,0.05705588526597148,0.11568057504788892,0.07579120673605684,0.08516744017261407,0.08331762644110925,0.07048287511814773,0.061729955094429294,0.09215956436148567,0.05457227221074097,0.0704317988630423,0.08962735842671356,0.0778309666058699,0.06277420790247334,0.09324802202159042,0.13526102982377025,0.1412269896181018,0.13886898380003784,0.12716442969409614,0.10681207355867546,0.08917330782018737,0.12296570872840223,0.09025509694883523,0.05836019163580522
AMZN,0.12324377189023555,0.122443655483067,0.09840181583881498,0.1441683083512396,0.1186483288350309,0.14687664268650996,0.15789170711110467,0.10647415120962224,0.07890791798627592,0.13568421412943998,0.055132516542079624,0.07251035878900933,0.08288992014047465,0.0583606393067446,0.04135256065689784,0.06880085176919751,0.04665191969043096,0.05253251809769773,0.06992762912152813,0.044317747282732384,0.024847888255850686,0.018350190806382363,0.03490099732485586,0.01981037073396102,0.028734432344302795,0.03821661663310269,0.018938126862274498,0.01537432716893922,0.013065492078478005,0.025669456777762636,0.11861697533266917,0.10293797890809143,0.1445837325053198,0.11257446210064444,0.10127744168348676,0.04455923929672049,0.07542407443839051,0.07877103292862517,0.060314639725062326,0.044595187195426274
META,0.16215850413183072,0.15245752430912626,0.1394255082412576,0.1186483288350309,0.20731333222680384,0.18489844028480582,0.1688708027603097,0.1516065268357352,0.10901878676679297,0.16693067329270886,0.11782073230093267,0.12784198327624857,0.13900598560736174,0.07288682914217272,0.06939729151736783,0.09298902980561853,0.06544578751747752,0.05619834471665301,0.11247573512089808,0.06434767064722548,0.06464087351523998,0.06410162597122634,0.058090970795512585,0.05178459159061065,0.07806031805581834,0.053004318094270725,0.04923209811818808,0.07686070864113548,0.06524288345321083,0.0535839496538905,0.12158501498751825,0.13409703553948002,0.15611684598858663,0.14257728232272981,0.1257620704310769,0.10261296723355075,0.09368740299757447,0.13458006762249633,0.08693864380232007,0.04931974899357921
NVDA,0.20736626214726195,0.21196687460184857,0.1677535358879059,0.14687664268650996,0.18489844028480582,0.3299645345800731,0.26901486890860055,0.22551125730404464,0.15517673231200102,0.21785215758758367,0.1425968347095607,0.17362129763359632,0.187804308641955,0.10607246170844531,0.09476866397296753,0.13860451796206075,0.09156104643916786,0.09490269050490274,0.13832429409575556,0.08928366408624179,0.09054530615235412,0.08329308620428809,0.07870065508244015,0.05961581731963557,0.08971433019351217,0.0779194060829224,0.05838779479007408,0.09104609729179966,0.0725619390736393,0.0713411628942081,0.15337314593418774,0.2019984851656863,0.2727578435384038,0.21693207642037265,0.19291906939233033,0.13341964834692188,0.13514732557302764,0.17130901822829886,0.1282194985027646,0.07068221591154816
TSLA,0.20071600841307824,0.20185366267226484,0.1564797725724116,0.15789170711110467,0.1688708027603097,0.26901486890860055,0.7831032403330701,0.2368718948205957,0.11009770841799707,0.2097475604317677,0.15572776541166514,0.17167330424879965,0.1887691463329961,0.06258762977248397,0.09704110926762757,0.10651242558084488,0.056952015424666304,0.05020385518281003,0.14556796238178785,0.0595522511527614,0.12850816259042214,0.1359990951512275,0.09496219985408089,0.09266034466604728,0.12723011896811598,0.0894204466605877,0.11770638298171643,0.15870556767829905,0.12711438428536756,0.11833439978865755,0.17379226260715072,0.1725005334589842,0.2419915205115097,0.1998647667433904,0.15253764622690238,0.13508973739005573,0.09243730052728387,0.1711975326431024,0.1232415400291888,0.08047299393318658
AVGO,0.1659600889609693,0.17265567108440613,0.14115080295717802,0.10647415120962224,0.1516065268357352,0.22551125730404464,0.2368718948205957,0.26621272112404565,0.1423095937938365,0.17764490034666985,0.1825529420006243,0.16594943171308754,0.17437167084798835,0.08145575622184104,0.10009639963270701,0.12038649834609645,0.0777152960760332,0.062022612779434515,0.15084097901197616,0.07897102649465683,0.13182600060019192,0.13618360403897328,0.08937623324473266,0.07794751370212197,0.1330274376097368,0.07918435694102943,0.1153077895589937,0.14967550486735753,0.14269514340450862,0.10481226387153462,0.11979896398347722,0.19046506115886433,0.1916373545200205,0.21415673463094637,0.18048196648204334,0.15054249197698502,0.09921022949770575,0.1754446386693063,0.11579147819067002,0.05641540172990399
CSCO,0.1264250070635348,0.12953769170261836,0.10943019319433482,0.07890791798627592,0.10901878676679297,0.15517673231200102,0.11009770841799707,0.1423095937938365,0.17211328421460736,0.12368906527690453,0.136734128073558,0.12761093228006987,0.14120763825135968,0.08801857768208236,0.08693048313854522,0.10435817762218355,0.08606512963751262,0.06699579284787172,0.12873662945913533,0.08973812285133913,0.09644135243340585,0.10143262171003024,0.08121964097528099,0.06365824344065382,0.09738483923974109,0.054803365866872546,0.08597803115180967,0.10620918279329591,0.07191777015091183,0.05727654318707507,0.07084852711675406,0.1488058313076541,0.1403109898485497,0.13944326672460458,0.13196935982264194,0.12059225792168657,0.09966141757566209,0.13312375325194253,0.09927024208182893,0.06937857516666575
ADBE,0.16866208702219146,0.18029774331002626,0.14491916211144504,0.13568421412943998,0.16693067329270886,0.21785215758758367,0.2097475604317677,0.17764490034666985,0.12368906527690453,0.22330914425141643,0.12377909874037873,0.13741260238936373,0.14853802762449306,0.08824454980832044,0.08071351470435649,0.11366051231714529,0.07268709700792192,0.07515750127819379,0.11304649703886792,0.07996029394673587,0.06476479816765625,0.059719425031502314,0.06082474020814152,0.04554711111928202,0.07077706460259436,0.06433832083487155,0.05016785539431208,0.06691375599599447,0.05570104649592427,0.06046697335481699,0.1498095927892056,0.17158986625804978,0.19018121424436246,0.17704634662682397,0.15363271558033398,0.09643470307098412,0.11003437877709178,0.13592114907535557,0.10064009729504758,0.06142290297151975
JPM,0.13405104671840387,0.13809399364103633,0.12347597381342636,0.055132516542079624,0.11782073230093267,0.1425968347095607,0.15572776541166514,0.1825529420006243,0.136734128073558,0.12377909874037873,0.2870894544851145,0.1754738413628714,0.19400801538339968,0.08836695653126918,0.13611574337945392,0.12144811247108919,0.09076308940361813,0.053434930467488144,0.1871752929325113,0.1039833902781537,0.18985409209241533,0.2034417475707638,0.1291858047670174,0.10946581582211053,0.19526495942955358,0.08745050575162795,0.16952595659471004,0.2430490100805407,0.18381441609879046,0.12719673101472764,0.050655374716435664,0.16230982456189585,0.12160009034230873,0.15167312813546127,0.1489328145776977,0.1988333513234953,0.0994094606587078,0.18587592859182495,0.11601666531780841,0.06346929484109
V,0.13864539866581824,0.14363692319184448,0.12768314252980198,0.07251035878900933,0.12784198327624857,0.17362129763359632,0.17167330424879965,0.16594943171308754,0.12761093228006987,0.13741260238936373,0.1754738413628714,0.17762893510057928,0.19058838810059242,0.08212001922343573,0.10759798965744537,0.1058238962223729,0.08647075074749648,0.05575792539387909,0.14970139130602939,0.08805082231122516,0.12978146340017063,0.13462858440523498,0.09291014725949874,0.08938258779860991,0.1326124499921436,0.066990103162542,0.10867902249298649,0.144489367813971,0.12037700503062776,0.09812416799527872,0.06499101171728959,0.144188742530161,0.14112632140973,0.14433132459776646,0.1364717772565709,0.15461932842202575,0.09713612221651337,0.15584428358685726,0.10530479892067361,0.05229920930375583
MA,0.1544230985584199,0.15770844078592472,0.14000871913480445,0.08288992014047465,0.13900598560736174,0.187804308641955,0.1887691463329961,0.17437167084798835,0.14120763825135968,0.14853802762449306,0.19400801538339968,0.19058838810059242,0.2311919001698782,0.08944841907207997,0.12453697025624218,0.11612315596428205,0.09366513318697006,0.058021267608591484,0.1773133327899196,0.09937757220928668,0.14521406887999988,0.1467669703242377,0.0996403417028345,0.09550375000602479,0.14749870033734125,0.07313743298099736,0.12067108030512894,0.16496001721731435,0.13102139721763809,0.10126894729442025,0.06491580806952686,0.15944997200468833,0.15546809573244988,0.15661427734935393,0.1451807355024963,0.17098193150068366,0.10359805857014313,0.17201267135911244,0.11104200714279308,0.05959727254099456
PG,0.09385762965178868,0.0949616548412246,0.07571142404266784,0.0583606393067446,0.07288682914217272,0.10607246170844531,0.06258762977248397,0.08145575622184104,0.08801857768208236,0.08824454980832044,0.08836695653126918,0.08212001922343573,0.08944841907207997,0.10230606618718918,0.07456041409616125,0.09594783092057028,0.07547652169615497,0.06881258142407522,0.07156523952635968,0.07052215001135932,0.043368195975901615,0.040412384557434754,0.05091332741168992,0.028749658215172676,0.04826434129368258,0.045962717358672044,0.03990703332966137,0.057424772821837805,0.028409741626185942,0.036560170492199805,0.05643542953691653,0.09671958970837738,0.09264873113621469,0.0937600624901459,0.08835474102750131,0.07701031056419165,0.08327513147418326,0.07791789115276997,0.08340292302921862,0.05704771050755498
KO,0.08978168277709328,0.08827320142692449,0.08159935328252907,0.04135256065689784,0.06939729151736783,0.09476866397296753,0.09704110926762757,0.10009639963270701,0.08693048313854522,0.08071351470435649,0.13611574337945392,0.10759798965744537,0.12453697025624218,0.07456041409616125,0.11861825914550284,0.09698855288713254,0.07319018965067478,0.04713776913999669,0.11036014313550793,0.07799244633647111,0.10467274170500544,0.10216014482363328,0.07275893791267919,0.06358695867719559,0.10442710973956532,0.0568278673899197,0.08989663270030897,0.11754280379836908,0.09766487924543081,0.07574882199311701,0.03465039387927451,0.10310996355767345,0.08462548374886553,0.09306266132400266,0.09202224223761378,0.11950373775319158,0.07043708437279111,0.10338781477233808,0.08941902386341807,0.050747997657040786
PEP,0.1144827758309149,0.11732225173808657,0.09321510637152493,0.06880085176919751,0.09298902980561853,0.13860451796206075,0.10651242558084488,0.12038649834609645,0.10435817762218355,0.11366051231714529,0.12144811247108919,0.1058238962223729,0.11612315596428205,0.09594783092057028,0.09698855288713254,0.13128172203578384,0.08109300482764535,0.0761930940733503,0.09792812913210512,0.0817241357378608,0.07751238414542576,0.07652781927193165,0.07887697351387932,0.0480164025976374,0.07715282922503408,0.06250011542594841,0.06486393234522195,0.09291684625284749,0.057417125491705495,0.059109985261951194,0.07428786792665407,0.1310053046923834,0.12191201904013353,0.11905400452302904,0.11178402083913148,0.09773562152935286,0.099024383679431,0.11043742810516212,0.10572191713651899,0.06720719038047714
JNJ,0.08349136171088058,0.08600416140420998,0.07098688100675775,0.04665191969043096,0.06544578751747752,0.09156104643916786,0.056952015424666304,0.0777152960760332,0.08606512963751262,0.07268709700792192,0.09076308940361813,0.08647075074749648,0.09366513318697006,0.07547652169615497,0.07319018965067478,0.08109300482764535,0.08900924282882315,0.05302547002138278,0.0721834414562997,0.07684619631847434,0.05288659936631611,0.051292784606235216,0.05486385965327014,0.03818878028528645,0.06156146647951274,0.038859819704400105,0.04150769398807019,0.05613662932884656,0.04570592364005945,0.04213421934015327,0.03859365829432684,0.08947880232179073,0.07604969032056112,0.07799722688416123,0.08173281419014705,0.0808735615162697,0.08011309780963977,0.07843070530182056,0.07800241263606324,0.05136974310923467
WMT,0.07680427874628107,0.07923529243644635,0.05705588526597148,0.05253251809769773,0.05619834471665301,0.09490269050490274,0.05020385518281003,0.062022612779434515,0.06699579284787172,0.07515750127819379,0.053434930467488144,0.05575792539387909,0.058021267608591484,0.06881258142407522,0.04713776913999669,0.0761930940733503,0.05302547002138278,0.09482098615734702,0.04582647998087781,0.04903825934978911,0.027543998661346512,0.029010458981602223,0.04607462263383768,0.01712410642420314,0.023941269155829278,0.03684601251706784,0.020506293496705585,0.03174132825919185,0.011989092844259716,0.018514760386997283,0.06307502834343386,0.08639520050459755,0.0851986216714157,0.07059119791232453,0.07647387968046784,0.03863025806535654,0.06778143841534823,0.05819686180890323,0.06341525365285809,0.04928303975509001
DIS,0.1180381990293912,0.12252818720097301,0.11568057504788892,0.06992762912152813,0.11247573512089808,0.13832429409575556,0.14556796238178785,0.15084097901197616,0.12873662945913533,0.11304649703886792,0.1871752929325113,0.14970139130602939,0.1773133327899196,0.07156523952635968,0.11036014313550793,0.09792812913210512,0.0721834414562997,0.04582647998087781,0.23133450671439654,0.07567088840498391,0.1343379497647442,0.13584628559950723,0.09017725839959705,0.09306199798564513,0.14957803074902595,0.060212603887788214,0.12496626379622543,0.17515180724822588,0.1247041267828439,0.09392718891463382,0.05511273559744365,0.12802206639284675,0.1230638603131611,0.12688203170033588,0.12153748433114468,0.16372232116841928,0.07602122420682451,0.15726284528993625,0.09058207105564291,0.04734707587088698
PFE,0.07880563739914659,0.08413619842154711,0.07579120673605684,0.044317747282732384,0.06434767064722548,0.08928366408624179,0.0595522511527614,0.07897102649465683,0.08973812285133913,0.07996029394673587,0.1039833902781537,0.08805082231122516,0.09937757220928668,0.07052215001135932,0.07799244633647111,0.0817241357378608,0.07684619631847434,0.04903825934978911,0.07567088840498391,0.12470472465422115,0.0646798065233584,0.059977961944830474,0.061714935200775076,0.0453331686766497,0.07354061213642452,0.04486445269256635,0.051144730591272836,0.06460901452871633,0.061402341930229136,0.050398025444032594,0.03767083821013697,0.1000642396565411,0.08293326555371512,0.08202615910187701,0.08289647840965675,0.08446662158999996,0.08297141029472697,0.08494978634644455,0.07587506449883641,0.0596092687924836
