N,K,p,seed,alpha,alpha_label,Optimization GAP (%),Execution Time (s)
6,3,3,42,0.0,Sin Ridge (alpha=0),26.232366980621585,0.2987742999976035
6,3,3,42,0.1,Con Ridge (alpha=0.1),8.973150146173591,0.10885589999088552
6,3,3,43,0.0,Sin Ridge (alpha=0),1.9141971789627878,0.281474999996135
6,3,3,43,0.1,Con Ridge (alpha=0.1),2.3713615241471797,0.1087932000082219
6,3,3,44,0.0,Sin Ridge (alpha=0),7.808340982244216,0.27317020000191405
6,3,3,44,0.1,Con Ridge (alpha=0.1),20.46999692746044,0.11853469999914523
6,3,3,45,0.0,Sin Ridge (alpha=0),27.74555598708883,0.278395699991961
6,3,3,45,0.1,Con Ridge (alpha=0.1),56.17874247620408,0.12219660000118893
6,3,3,46,0.0,Sin Ridge (alpha=0),15.851638702744166,0.2763604000065243
6,3,3,46,0.1,Con Ridge (alpha=0.1),20.115329167754282,0.1042343000008259
8,4,3,42,0.0,Sin Ridge (alpha=0),19.96627043274599,0.3169653999939328
8,4,3,42,0.1,Con Ridge (alpha=0.1),48.507282941174616,0.12443120000534691
8,4,3,43,0.0,Sin Ridge (alpha=0),6.908299725281408,0.32309689999965485
8,4,3,43,0.1,Con Ridge (alpha=0.1),56.680214275989286,0.12236769999435637
8,4,3,44,0.0,Sin Ridge (alpha=0),23.961945891925534,0.32116900000255555
8,4,3,44,0.1,Con Ridge (alpha=0.1),46.97116776133866,0.14553059999889228
8,4,3,45,0.0,Sin Ridge (alpha=0),8.80966020823565,0.31600069999694824
8,4,3,45,0.1,Con Ridge (alpha=0.1),21.894618999331293,0.12135329999728128
8,4,3,46,0.0,Sin Ridge (alpha=0),7.137002841073308,0.33772370000951923
8,4,3,46,0.1,Con Ridge (alpha=0.1),27.11969713564819,0.13665609998861328
10,5,3,42,0.0,Sin Ridge (alpha=0),23.5151514150139,0.41277560000889935
10,5,3,42,0.1,Con Ridge (alpha=0.1),84.45587756927118,0.1602901999867754
10,5,3,43,0.0,Sin Ridge (alpha=0),25.24772975706384,0.39864749999833293
10,5,3,43,0.1,Con Ridge (alpha=0.1),20.462959380002495,0.15082819999952335
10,5,3,44,0.0,Sin Ridge (alpha=0),28.273173699200033,0.4001150999974925
10,5,3,44,0.1,Con Ridge (alpha=0.1),40.1704827467624,0.16609040000184905
10,5,3,45,0.0,Sin Ridge (alpha=0),8.582462787619196,0.4179764000000432
10,5,3,45,0.1,Con Ridge (alpha=0.1),55.25229958780392,0.1668350000109058
10,5,3,46,0.0,Sin Ridge (alpha=0),2.2314302206761734,0.4154994999989867
10,5,3,46,0.1,Con Ridge (alpha=0.1),16.18800340088523,0.1702553000068292
12,6,3,42,0.0,Sin Ridge (alpha=0),18.455176863498256,0.6676356999960262
12,6,3,42,0.1,Con Ridge (alpha=0.1),33.485973860226025,0.2809879999986151
12,6,3,43,0.0,Sin Ridge (alpha=0),45.36260523301413,0.7006906000024173
12,6,3,43,0.1,Con Ridge (alpha=0.1),56.602100299167176,0.23459700000239536
12,6,3,44,0.0,Sin Ridge (alpha=0),25.058787734494437,0.5923323000024538
12,6,3,44,0.1,Con Ridge (alpha=0.1),49.42834016348965,0.2642747999925632
12,6,3,45,0.0,Sin Ridge (alpha=0),18.477268791930644,0.6084645999944769
12,6,3,45,0.1,Con Ridge (alpha=0.1),28.0943586949369,0.22938279999652877
12,6,3,46,0.0,Sin Ridge (alpha=0),10.53427241958684,0.5719799999933457
12,6,3,46,0.1,Con Ridge (alpha=0.1),34.02338821692487,0.21481459999631625
14,7,3,42,0.0,Sin Ridge (alpha=0),14.388875412577512,1.2530066000035731
14,7,3,42,0.1,Con Ridge (alpha=0.1),39.42446306244932,0.4298240999924019
14,7,3,43,0.0,Sin Ridge (alpha=0),27.439403657555893,1.1876303000026383
14,7,3,43,0.1,Con Ridge (alpha=0.1),47.44335407800938,0.5163891000120202
14,7,3,44,0.0,Sin Ridge (alpha=0),52.18302391517655,1.1836570000014035
14,7,3,44,0.1,Con Ridge (alpha=0.1),33.58016816639452,0.5041763000044739
14,7,3,45,0.0,Sin Ridge (alpha=0),16.140370731978944,1.2223221000022022
14,7,3,45,0.1,Con Ridge (alpha=0.1),32.9703743817227,0.5332794999994803
14,7,3,46,0.0,Sin Ridge (alpha=0),16.80872721864917,1.282330699992599
14,7,3,46,0.1,Con Ridge (alpha=0.1),28.623316448152085,0.47828470000240486
