N,K,seed,max_abs_error,passed
6,3,42,5.329070518200751e-15,True
6,3,43,2.6645352591003757e-15,True
6,3,44,4.440892098500626e-15,True
8,4,42,7.105427357601002e-15,True
8,4,43,6.217248937900877e-15,True
8,4,44,1.2434497875801753e-14,True
10,5,42,1.4210854715202004e-14,True
10,5,43,1.2434497875801753e-14,True
10,5,44,1.2434497875801753e-14,True
12,6,42,1.9539925233402755e-14,True
12,6,43,3.552713678800501e-14,True
12,6,44,2.1316282072803006e-14,True
14,7,42,2.3092638912203256e-14,True
14,7,43,5.3290705182007514e-14,True
14,7,44,3.907985046680551e-14,True
