N,K,p,seed,n_restarts,Solver,Optimization GAP (%),Total Execution Time (s)
8,4,3,42,1,Standard QAOA,103.24743841430725,0.33284180000191554
8,4,3,42,1,XY-QAOA Regularized,36.95132173728653,0.3141170000017155
8,4,3,42,2,Standard QAOA,0.0,0.6402583999879425
8,4,3,42,2,XY-QAOA Regularized,27.355269231938728,0.6279386999813141
8,4,3,42,3,Standard QAOA,0.0,1.073873100001947
8,4,3,42,3,XY-QAOA Regularized,27.355269231938728,0.9818568000046071
8,4,3,42,5,Standard QAOA,0.0,1.6570462999952724
8,4,3,42,5,XY-QAOA Regularized,19.96627043274599,1.6293374999804655
8,4,3,43,1,Standard QAOA,0.0,0.33673899999121204
8,4,3,43,1,XY-QAOA Regularized,6.908299725281408,0.34680329999537207
8,4,3,43,2,Standard QAOA,0.0,0.6774176000035368
8,4,3,43,2,XY-QAOA Regularized,6.908299725281408,0.6584399999992456
8,4,3,43,3,Standard QAOA,0.0,0.9999080000125105
8,4,3,43,3,XY-QAOA Regularized,6.908299725281408,0.9850288000161527
8,4,3,43,5,Standard QAOA,0.0,1.695436999973026
8,4,3,43,5,XY-QAOA Regularized,6.908299725281408,1.7291232999996282
8,4,3,44,1,Standard QAOA,0.0,0.3623393000016222
8,4,3,44,1,XY-QAOA Regularized,1.099688920966523,0.33197429998836014
8,4,3,44,2,Standard QAOA,0.0,0.671624900016468
8,4,3,44,2,XY-QAOA Regularized,1.099688920966523,0.6801925000036135
8,4,3,44,3,Standard QAOA,0.0,1.0238911999913398
8,4,3,44,3,XY-QAOA Regularized,1.099688920966523,0.9901144999894314
8,4,3,44,5,Standard QAOA,0.0,1.7181457000115188
8,4,3,44,5,XY-QAOA Regularized,1.099688920966523,1.6444629999896279
8,4,3,45,1,Standard QAOA,0.0,0.334638599990285
8,4,3,45,1,XY-QAOA Regularized,16.15738420947781,0.3465356999950018
8,4,3,45,2,Standard QAOA,0.0,0.6677370999968844
8,4,3,45,2,XY-QAOA Regularized,16.15738420947781,0.669902000008733
8,4,3,45,3,Standard QAOA,0.0,0.9779515999980504
8,4,3,45,3,XY-QAOA Regularized,8.80966020823565,0.9884282000130042
8,4,3,45,5,Standard QAOA,0.0,1.682366799999727
8,4,3,45,5,XY-QAOA Regularized,8.80966020823565,1.7428060000092955
8,4,3,46,1,Standard QAOA,52.22331488812688,0.4162608999904478
8,4,3,46,1,XY-QAOA Regularized,0.0,0.43572799999674316
8,4,3,46,2,Standard QAOA,0.0,0.762201699995785
8,4,3,46,2,XY-QAOA Regularized,0.0,0.7059293999918737
8,4,3,46,3,Standard QAOA,0.0,1.0819117999926675
8,4,3,46,3,XY-QAOA Regularized,0.0,1.003194999997504
8,4,3,46,5,Standard QAOA,0.0,1.696401400011382
8,4,3,46,5,XY-QAOA Regularized,0.0,1.6481918999925256
10,5,3,42,1,Standard QAOA,84.64708002943159,0.4294109999900684
10,5,3,42,1,XY-QAOA Regularized,36.68112965020969,0.4179720999964047
10,5,3,42,2,Standard QAOA,0.0,0.8226017000124557
10,5,3,42,2,XY-QAOA Regularized,23.5151514150139,0.823121399997035
10,5,3,42,3,Standard QAOA,0.0,1.2133083999942755
10,5,3,42,3,XY-QAOA Regularized,23.5151514150139,1.2384319999982836
10,5,3,42,5,Standard QAOA,0.0,2.162098999993759
10,5,3,42,5,XY-QAOA Regularized,23.5151514150139,2.2350226000125986
10,5,3,43,1,Standard QAOA,0.0,0.43704770000476856
10,5,3,43,1,XY-QAOA Regularized,31.6261214300283,0.45055979999597184
10,5,3,43,2,Standard QAOA,0.0,0.8887649999960558
10,5,3,43,2,XY-QAOA Regularized,4.842679251205883,0.8563371999916853
10,5,3,43,3,Standard QAOA,0.0,1.4615545000124257
10,5,3,43,3,XY-QAOA Regularized,4.842679251205883,1.3221640000119805
10,5,3,43,5,Standard QAOA,0.0,2.2202699999761535
10,5,3,43,5,XY-QAOA Regularized,4.842679251205883,2.1638347999978578
10,5,3,44,1,Standard QAOA,80.97689358269484,0.4413367999950424
10,5,3,44,1,XY-QAOA Regularized,6.9982636690356745,0.46327150000433903
10,5,3,44,2,Standard QAOA,0.08409976196432446,0.8618409999908181
10,5,3,44,2,XY-QAOA Regularized,6.9982636690356745,0.8803619000100298
10,5,3,44,3,Standard QAOA,0.08409976196432446,1.3450406000192743
10,5,3,44,3,XY-QAOA Regularized,6.9982636690356745,1.333483400012483
10,5,3,44,5,Standard QAOA,0.0,2.129731900029583
10,5,3,44,5,XY-QAOA Regularized,6.9982636690356745,2.1787801000027684
10,5,3,45,1,Standard QAOA,78.58537045880713,0.4548743000050308
10,5,3,45,1,XY-QAOA Regularized,22.433137673583307,0.47064279999176506
10,5,3,45,2,Standard QAOA,0.0,0.8754861999914283
10,5,3,45,2,XY-QAOA Regularized,20.635787754230513,0.8865228999929968
10,5,3,45,3,Standard QAOA,0.0,1.2577267000015127
10,5,3,45,3,XY-QAOA Regularized,8.582462787619196,1.2898809000034817
10,5,3,45,5,Standard QAOA,0.0,2.186424799991073
10,5,3,45,5,XY-QAOA Regularized,8.582462787619196,2.261622100006207
10,5,3,46,1,Standard QAOA,0.0,0.44605779999983497
10,5,3,46,1,XY-QAOA Regularized,2.2314302206761734,0.4620418999984395
10,5,3,46,2,Standard QAOA,0.0,0.9158433999982662
10,5,3,46,2,XY-QAOA Regularized,2.2314302206761734,0.867569399997592
10,5,3,46,3,Standard QAOA,0.0,1.2704353000008268
10,5,3,46,3,XY-QAOA Regularized,2.2314302206761734,1.2841688000044087
10,5,3,46,5,Standard QAOA,0.0,2.1578406000044197
10,5,3,46,5,XY-QAOA Regularized,2.2314302206761734,2.2117689000006067
14,7,3,42,1,Standard QAOA,76.98099899061971,1.3768715000041993
14,7,3,42,1,XY-QAOA Regularized,31.620354740801197,1.2161401999910595
14,7,3,42,2,Standard QAOA,76.98099899061971,2.600533100005123
14,7,3,42,2,XY-QAOA Regularized,11.264909515345286,2.6949748000042746
14,7,3,42,3,Standard QAOA,0.0,3.9904877000080887
14,7,3,42,3,XY-QAOA Regularized,11.264909515345286,4.049526499977219
14,7,3,42,5,Standard QAOA,0.0,6.450318800008972
14,7,3,42,5,XY-QAOA Regularized,11.264909515345286,6.91553520000889
14,7,3,43,1,Standard QAOA,0.1499029507194564,1.2929508999950485
14,7,3,43,1,XY-QAOA Regularized,30.808472919971248,1.3712459999951534
14,7,3,43,2,Standard QAOA,0.0,2.6377407999825664
14,7,3,43,2,XY-QAOA Regularized,18.500790133081434,2.5516695999976946
14,7,3,43,3,Standard QAOA,0.0,3.7308435999875655
14,7,3,43,3,XY-QAOA Regularized,18.500790133081434,4.377682000005734
14,7,3,43,5,Standard QAOA,0.0,6.436059099985869
14,7,3,43,5,XY-QAOA Regularized,8.5027015982475,6.5846765999885974
14,7,3,44,1,Standard QAOA,0.0,1.2788138000032632
14,7,3,44,1,XY-QAOA Regularized,19.596658238386972,1.3599716000026092
14,7,3,44,2,Standard QAOA,0.0,2.6347038999956567
14,7,3,44,2,XY-QAOA Regularized,19.596658238386972,2.6434981000056723
14,7,3,44,3,Standard QAOA,0.0,4.323756099998718
14,7,3,44,3,XY-QAOA Regularized,19.596658238386972,4.055883099979837
14,7,3,44,5,Standard QAOA,0.0,6.79477809999662
14,7,3,44,5,XY-QAOA Regularized,19.596658238386972,7.42726730000868
14,7,3,45,1,Standard QAOA,84.40375217744057,1.4291754000005312
