N,K,Solver,p,seed,restart_id,is_best_restart,experiment_phase,Feasibility Ratio (%),Optimization GAP (%),gap_best_of_restarts,Sharpe Ratio In-Sample,Sharpe Ratio Out-of-Sample,Execution Time (s),objective
6,3,Gurobi,,42,,True,N_scaling,100.0,0.0,0.0,2.2250196061044103,0.5016254806739875,0.004876999999396503,-0.16969936584326606
6,3,Simulated Annealing,,42,,True,N_scaling,100.0,0.0,0.0,2.2250196061044103,0.5016254806739875,0.013617300006444566,-0.16969936584326606
6,3,Standard QAOA,3.0,42,0.0,True,N_scaling,98.90495739289975,104.81843058986264,104.81843058986264,0.0461141778232512,-0.12100562519036057,0.29273190000094473,0.00817684615459484
6,3,XY-QAOA,3.0,42,,True,N_scaling,100.0,57.59852386563688,57.59852386563688,1.1043158574887593,0.44614759328531695,0.27101979999861214,-0.07195503610819803
6,3,XY-QAOA Regularized,3.0,42,0.0,True,N_scaling,100.0,21.197796197394037,21.197796197394037,2.207580307040662,0.3800405971386056,0.28492769999138545,-0.1337268401235404
6,3,Gurobi,,43,,True,N_scaling,100.0,0.0,0.0,1.569737245316234,0.2840676226026083,0.003683399991132319,-0.1245977179843954
6,3,Simulated Annealing,,43,,True,N_scaling,100.0,0.0,0.0,1.569737245316234,0.2840676226026083,0.01171789999352768,-0.1245977179843954
6,3,Standard QAOA,3.0,43,0.0,True,N_scaling,93.90903246605322,0.0,0.0,1.569737245316234,0.2840676226026083,0.2919582000031369,-0.1245977179843954
6,3,XY-QAOA,3.0,43,,True,N_scaling,100.0,1.9141971789627878,1.9141971789627878,1.3140146442482428,1.5131803639841177,0.28322499999194406,-0.12221267198168609
6,3,XY-QAOA Regularized,3.0,43,0.0,True,N_scaling,100.00000000000004,1.9141971789627878,1.9141971789627878,1.3140146442482428,1.5131803639841177,0.2844935000030091,-0.12221267198168609
6,3,Gurobi,,44,,True,N_scaling,100.0,0.0,0.0,2.1113684758499756,0.8441618861128735,0.0034577000042190775,-0.1843847830914346
6,3,Simulated Annealing,,44,,True,N_scaling,100.0,0.0,0.0,2.1113684758499756,0.8441618861128735,0.013059399992926046,-0.1843847830914346
6,3,Standard QAOA,3.0,44,0.0,True,N_scaling,92.04502209425675,0.0,0.0,2.1113684758499756,0.8441618861128735,0.281619999994291,-0.1843847830914346
6,3,XY-QAOA,3.0,44,,True,N_scaling,100.0,15.421685139251565,15.421685139251565,1.8828233991258603,0.7451408755531393,0.2824331000010716,-0.1559495423983816
6,3,XY-QAOA Regularized,3.0,44,0.0,True,N_scaling,99.99999999999996,6.998737176841913,6.998737176841913,2.144918406260443,0.8399714697032931,0.2837862000014866,-0.17148017672877505
6,3,Gurobi,,45,,True,N_scaling,100.0,0.0,0.0,2.311678895017132,1.2335307400615103,0.00381220001145266,-0.22545725853736348
6,3,Simulated Annealing,,45,,True,N_scaling,100.0,0.0,0.0,2.311678895017132,1.2335307400615103,0.011721100003342144,-0.22545725853736348
6,3,Standard QAOA,3.0,45,0.0,True,N_scaling,95.5656272841201,0.0,0.0,2.311678895017132,1.2335307400615103,0.28933510000933893,-0.22545725853736348
6,3,XY-QAOA,3.0,45,,True,N_scaling,100.0,27.74555598708883,27.74555598708883,1.6004870851618633,0.8038141772732651,0.28219470000476576,-0.16290288864292368
